id,CompoundName,CompounrDescription,strImageSource,strImageAttribution,dateModified
11,Copper(II) Sulfate,"Copper(II) sulfate, also known as copper sulphate, is an inorganic compound with the chemical formula CuSO4. It forms hydrates CuSO4·nH2O, where n can range from 1 to 7. The pentahydrate (n = 5), a bright blue crystal, is the most commonly encountered hydrate of copper(II) sulfate. Older names for the pentahydrate include blue vitriol, bluestone, vitriol of copper, and Roman vitriol.",https://upload.wikimedia.org/wikipedia/commons/d/d8/Copper_sulfate.jpg,https://en.wikipedia.org/wiki/Copper(II)_sulfate#/media/File:Copper_sulfate.jpg,2016-07-18 22:06:00
12,Sodium tetraborate,"Borax is a salt (ionic compound), a hydrated borate of sodium, with chemical formula Na2H20B4O17 often written Na2B4O7·10H2O. It is a colorless crystalline solid, that dissolves in water to make a basic solution. It is commonly available in powder or granular form, and has many industrial and household uses, including as a pesticide, as a metal soldering flux, as a component of glass, enamel, and pottery glazes, for tanning of skins and hides, for artificial aging of wood, as a preservative against wood fungus, and as a pharmaceutic alkalizer.",https://upload.wikimedia.org/wikipedia/commons/f/f7/Borax_crystals.jpg,,2016-07-18 22:06:00
13,Sodium chloride,"Sodium chloride /ˌsoʊdiəm ˈklɔːraɪd/, commonly known as salt (although sea salt also contains other chemical salts), is an ionic compound with the chemical formula NaCl, representing a 1:1 ratio of sodium and chloride ions. Sodium chloride is the salt most responsible for the salinity of seawater and of the extracellular fluid of many multicellular organisms. In its edible form, salt (also known as table salt) is commonly used as a condiment and food preservative.",https://upload.wikimedia.org/wikipedia/commons/7/7c/Selpologne.jpg,https://en.wikipedia.org/wiki/Sodium_chloride#/media/File:Selpologne.jpg,2016-07-18 22:06:00
14,Sulfur,"Sulfur (or sulphur in British English) is a chemical element with the symbol S and atomic number 16. It is abundant, multivalent and nonmetallic. Under normal conditions, sulfur atoms form cyclic octatomic molecules with a chemical formula S8. Elemental sulfur is a bright yellow, crystalline solid at room temperature.",https://upload.wikimedia.org/wikipedia/commons/8/88/Sulfur_-_El_Desierto_mine%2C_San_Pablo_de_Napa%2C_Daniel_Campos_Province%2C_Potos%C3%AD%2C_Bolivia.jpg,"https://en.wikipedia.org/wiki/Sulfur#/media/File:Sulfur_-_El_Desierto_mine,_San_Pablo_de_Napa,_Daniel_Campos_Province,_Potos%C3%AD,_Bolivia.jpg",2016-07-18 22:06:00
15,Tin tetrachloride,"Tin(IV) chloride, also known as tin tetrachloride or stannic chloride, is an inorganic compound with the formula SnCl4. It is a colorless hygroscopic liquid, which fumes on contact with air. It is used as a precursor to other tin compounds. It was first discovered by Andreas Libavius (1550–1616) and was known as spiritus fumans libavii.",https://upload.wikimedia.org/wikipedia/commons/3/39/Tin%28IV%29-chlorid.svg,,2016-07-18 22:06:00
16,Silicon carbide,"Silicon carbide (SiC), also known as carborundum (/ˌkɑːrbəˈrʌndəm/), is a hard chemical compound containing silicon and carbon. A semiconductor, it occurs in nature as the extremely rare mineral moissanite, but has been mass-produced as a powder and crystal since 1893 for use as an abrasive. Grains of silicon carbide can be bonded together by sintering to form very hard ceramics that are widely used in applications requiring high endurance, such as car brakes, car clutches and ceramic plates in bulletproof vests.",https://upload.wikimedia.org/wikipedia/commons/4/4d/SiC_p1390066.jpg,https://en.wikipedia.org/wiki/Silicon_carbide#/media/File:SiC_p1390066.jpg,2016-07-18 22:06:00
17,Sodium hydroxide,"Sodium hydroxide, also known as lye and caustic soda, is an inorganic compound with the formula NaOH. It is a white solid ionic compound consisting of sodium cations Na+ and hydroxide anions OH−.",https://en.wikipedia.org/wiki/Sodium_hydroxide#/media/File:SodiumHydroxide.jpg,,2016-07-18 22:06:00
18,Phenol,"Phenol (also called carbolic acid) is an aromatic organic compound with the molecular formula C6H5OH. It is a white crystalline solid that is volatile. The molecule consists of a phenyl group (−C6H5) bonded to a hydroxy group (−OH). Mildly acidic, it requires careful handling because it can cause chemical burns.",https://upload.wikimedia.org/wikipedia/commons/9/91/Phenol-2D-skeletal.png,,2016-07-18 22:06:00
19,Potassium hydroxide,"Potassium hydroxide is an inorganic compound with the formula KOH, and is commonly called caustic potash. Along with sodium hydroxide (NaOH), KOH is a prototypical strong base. It has many industrial and niche applications, most of which exploit its caustic nature and its reactivity toward acids. An estimated 700,000 to 800,000 tonnes were produced in 2005. KOH is noteworthy as the precursor to most soft and liquid soaps, as well as numerous potassium-containing chemicals.",https://upload.wikimedia.org/wikipedia/commons/3/33/Potassium_hydroxide.jpg,,2016-07-18 22:06:00
20,Calcium carbonate,"Calcium carbonate is a chemical compound with the formula CaCO3. It is a common substance found in rocks as the minerals calcite and aragonite (most notably as limestone, which is a type of sedimentary rock consisting mainly of calcite) and is the main component of eggshells, gastropod shells, shellfish skeletons and pearls. Things containing much calcium carbonate or resembling it are described as calcareous.",https://upload.wikimedia.org/wikipedia/commons/d/d3/Calcium_carbonate.png,,2016-07-18 22:06:00
21,Sodium silicate,"Sodium silicate is a generic name for chemical compounds with the formula Na2xSiyO2y+x or (Na2O)x·(SiO2)y, such as sodium metasilicate Na2SiO3, sodium orthosilicate Na4SiO4, and sodium pyrosilicate Na6Si2O7. The anions are often polymeric. These compounds are generally colorless transparent solids or white powders, and soluble in water in various amounts.",https://upload.wikimedia.org/wikipedia/commons/e/e9/Industrial_solid_potassium_sodium_silicate.jpg,https://www.flickr.com/photos/jill47/6057800625/,2016-07-18 22:06:00
22,Acetic acid,"Acetic acid /əˈsiːtɪk/, systematically named ethanoic acid /ˌɛθəˈnoʊɪk/, is an acidic, colourless liquid and organic compound with the chemical formula CH3COOH (also written as CH3CO2H, C2H4O2, or HC2H3O2). Vinegar is at least 4% acetic acid by volume, making acetic acid the main component of vinegar apart from water and other trace elements.",https://upload.wikimedia.org/wikipedia/commons/6/62/Essigs%C3%A4ure_-_Acetic_acid.svg,,2016-07-18 22:06:00
23,Mercury sulfide,"Mercury sulfide, or mercury(II) sulfide is a chemical compound composed of the chemical elements mercury and sulfur. It is represented by the chemical formula HgS. It is virtually insoluble in water.",https://upload.wikimedia.org/wikipedia/commons/3/35/Cinnabar09.jpg,,2016-07-18 22:06:00
24,Chloropicrin,"Chloropicrin, also known as PS and nitrochloroform, is a chemical compound currently used as a broad-spectrum antimicrobial, fungicide, herbicide, insecticide, and nematicide. It was used as a poison gas in World War I. Its chemical structural formula is Cl3CNO2.",https://upload.wikimedia.org/wikipedia/commons/c/ce/Chloropicrin.png,,2016-07-18 22:06:00
25,Tetraethyl lead,"Tetraethyllead (commonly styled tetraethyl lead), abbreviated TEL, is an organolead compound with the formula Pb(C2H5)4. It is a fuel additive, first being mixed with gasoline beginning in the 1920s as a patented octane rating booster that allowed engine compression to be raised substantially. This in turn increased vehicle performance and fuel economy.",https://upload.wikimedia.org/wikipedia/commons/e/ef/Tetraethyllead-Skeletal-SVG.svg,,2016-07-18 22:06:00
26,Sucrose,"For human consumption, sucrose is extracted and refined from either sugarcane or sugar beet. Sugar mills – typically located in tropical regions near where sugarcane is grown – crush the cane and produce raw sugar which is shipped to other factories for refining into pure sucrose. Sugar beet factories are located in temperate climates where the beet is grown, and process the beets directly into refined sugar.",https://upload.wikimedia.org/wikipedia/commons/5/56/Sugar_2xmacro.jpg,https://en.wikipedia.org/wiki/Sucrose#/media/File:Sugar_2xmacro.jpg,2016-07-18 22:06:00
27,Lead(II) Acetate,"Lead(II) acetate (Pb(CH3COO)2), also known as lead acetate, lead diacetate, plumbous acetate, sugar of lead, lead sugar, salt of Saturn, or Goulard's powder, is a white crystalline chemical compound with a slightly sweet taste. Like many other lead compounds, it is toxic. Lead acetate is soluble in water and glycerin. With water it forms the trihydrate, Pb(CH3COO)2·3H2O, a colourless or white efflorescent monoclinic crystalline substance.",https://upload.wikimedia.org/wikipedia/commons/5/5c/Lead%28II%29Acetate.jpg,https://en.wikipedia.org/wiki/Lead(II)_acetate#/media/File:Lead(II)Acetate.jpg,2016-07-18 22:06:00
28,Isopropyl alcohol,"Isopropyl alcohol (IUPAC name propan-2-ol and also called isopropanol or 2-propanol) is a colorless, flammable organic compound with a pungent alcoholic odor. As an isopropyl group linked to a hydroxyl group (chemical formula (CH3)2CHOH) it is the simplest example of a secondary alcohol, where the alcohol carbon atom is attached to two other carbon atoms. It is a structural isomer of propan-1-ol and ethyl methyl ether.",https://upload.wikimedia.org/wikipedia/commons/3/37/Isopropanol_by_Danny_S.jpg,https://en.wikipedia.org/wiki/Isopropyl_alcohol#/media/File:Isopropanol_by_Danny_S.jpg,2016-07-18 22:06:00
29,Potassium Sodium Tartrate,"Potassium sodium tartrate tetrahydrate, also known as Rochelle salt, is a double salt of tartaric acid first prepared (in about 1675) by an apothecary, Pierre Seignette, of La Rochelle, France. Potassium sodium tartrate and monopotassium phosphate were the first materials discovered to exhibit piezoelectricity. This property led to its extensive use in 'crystal' gramophone (phono) pick-ups, microphones and earpieces during the post-World War II consumer electronics boom of the mid-20th century.",https://upload.wikimedia.org/wikipedia/commons/f/f1/K-Na-L-%28%2B%29-tartrate.png,,2016-07-18 22:06:00
30,Naphthalene,"Naphthalene is an organic compound with formula C0H8. It is the simplest polycyclic aromatic hydrocarbon, and is a white crystalline solid with a characteristic odor that is detectable at concentrations as low as 0.08 ppm by mass.[15] As an aromatic hydrocarbon, naphthalene's structure consists of a fused pair of benzene rings. It is best known as the main ingredient of traditional mothballs.",https://upload.wikimedia.org/wikipedia/commons/8/81/Naphthalene-from-xtal-3D-balls.png,,2016-07-18 22:06:00
